,filename_seg,counted
278,96 well image example__B5__6.jpg,2
279,96 well image example__B5__7.jpg,3
280,96 well image example__B5__8.jpg,1
281,96 well image example__B5__9.jpg,1
282,96 well image example__B5__10.jpg,1
283,96 well image example__B5__11.jpg,1
284,96 well image example__B5__12.jpg,1
285,96 well image example__B5__13.jpg,1
286,96 well image example__B5__14.jpg,2
287,96 well image example__B5__15.jpg,1
288,96 well image example__B5__16.jpg,1
289,96 well image example__B5__17.jpg,1
290,96 well image example__B5__18.jpg,1
291,96 well image example__B6__1.jpg,2
292,96 well image example__B6__2.jpg,1
293,96 well image example__B6__3.jpg,1
294,96 well image example__B6__4.jpg,2
295,96 well image example__B6__5.jpg,1
296,96 well image example__B6__6.jpg,3
297,96 well image example__B6__7.jpg,1
298,96 well image example__B6__8.jpg,1
299,96 well image example__B6__9.jpg,1
300,96 well image example__B6__10.jpg,1
301,96 well image example__B6__11.jpg,1
302,96 well image example__B6__12.jpg,1
303,96 well image example__B7__1.jpg,1
304,96 well image example__B7__2.jpg,1
305,96 well image example__B7__3.jpg,1
306,96 well image example__B7__4.jpg,4
307,96 well image example__B7__5.jpg,2
308,96 well image example__B7__6.jpg,1
309,96 well image example__B7__7.jpg,1
310,96 well image example__B7__8.jpg,1
311,96 well image example__B7__9.jpg,3
312,96 well image example__B7__10.jpg,2
313,96 well image example__B7__11.jpg,1
314,96 well image example__B7__12.jpg,3
315,96 well image example__B7__13.jpg,2
316,96 well image example__B7__14.jpg,1
317,96 well image example__B7__15.jpg,1
318,96 well image example__B8__1.jpg,1
319,96 well image example__B8__2.jpg,1
320,96 well image example__B8__3.jpg,1
321,96 well image example__B8__4.jpg,1
322,96 well image example__B8__5.jpg,1
323,96 well image example__B8__6.jpg,1
324,96 well image example__B8__7.jpg,1
325,96 well image example__B8__8.jpg,1
326,96 well image example__B8__9.jpg,1
327,96 well image example__B8__10.jpg,4
328,96 well image example__B8__11.jpg,1
329,96 well image example__B8__12.jpg,1
330,96 well image example__B8__13.jpg,1
331,96 well image example__B8__14.jpg,1
332,96 well image example__B8__15.jpg,1
333,96 well image example__B8__16.jpg,2
334,96 well image example__B8__17.jpg,2
335,96 well image example__B8__18.jpg,1
336,96 well image example__B8__19.jpg,1
337,96 well image example__B9__1.jpg,2
338,96 well image example__B9__2.jpg,2
339,96 well image example__B9__3.jpg,3
340,96 well image example__B9__4.jpg,1
341,96 well image example__B9__5.jpg,1
342,96 well image example__B9__6.jpg,1
343,96 well image example__B9__7.jpg,1
344,96 well image example__B9__8.jpg,1
345,96 well image example__B9__9.jpg,1
346,96 well image example__B9__10.jpg,1
347,96 well image example__B9__11.jpg,2
348,96 well image example__B9__12.jpg,0
349,96 well image example__B9__13.jpg,2
350,96 well image example__B9__14.jpg,0
351,96 well image example__B9__15.jpg,1
352,96 well image example__B9__16.jpg,1
353,96 well image example__B10__1.jpg,4
354,96 well image example__B10__2.jpg,0
355,96 well image example__B10__3.jpg,1
356,96 well image example__B10__4.jpg,1
357,96 well image example__B10__5.jpg,1
358,96 well image example__B10__6.jpg,2
359,96 well image example__B10__7.jpg,1
360,96 well image example__B10__8.jpg,1
361,96 well image example__B10__9.jpg,1
362,96 well image example__B10__10.jpg,1
363,96 well image example__B10__11.jpg,2
364,96 well image example__B10__12.jpg,1
365,96 well image example__B10__13.jpg,4
366,96 well image example__B10__14.jpg,1
367,96 well image example__B11__1.jpg,1
368,96 well image example__B11__2.jpg,2
369,96 well image example__B11__3.jpg,1
370,96 well image example__B11__4.jpg,1
371,96 well image example__B11__5.jpg,2
372,96 well image example__B11__6.jpg,1
373,96 well image example__B11__7.jpg,1
374,96 well image example__B11__8.jpg,1
375,96 well image example__B11__9.jpg,1
376,96 well image example__B11__10.jpg,1
377,96 well image example__B11__11.jpg,1
378,96 well image example__B12__1.jpg,1
379,96 well image example__B12__2.jpg,1
